STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;57792
delete.cypher;TOTAL;57792

schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;10

graphSetting.cypher;dataset loading;1835249
graphSetting.cypher;TOTAL;1835249

constraints.cypher;Strict Temporal Consistency;40560
constraints.cypher;C1 - birthDateConflict;123
constraints.cypher;C2 - deathDateConflict;305
constraints.cypher;C3 - birthDeathConflict;169
constraints.cypher;C4 - birthPlayerConflict;324
constraints.cypher;C5 - deathPlayerConflict;166
constraints.cypher;C6 - playerAgeConflict;401
constraints.cypher;C7 - playerTooOldConflict;332
constraints.cypher;C8 - twoTeamsConflict;21088
constraints.cypher;C14 - marriageConflict;289
constraints.cypher;C16 - birthMarriageConflict;71
constraints.cypher;C17 - deathMarriageConflict;55
constraints.cypher;C18 - playerCoachConflict;141
constraints.cypher;C19 - twoCompaniesConflict;51
constraints.cypher;TOTAL;64075

stats.cypher;Nb triplets;348
stats.cypher;Nb "o";129
stats.cypher;Nb "s";125
stats.cypher;nb "p";124
stats.cypher;Nb "p" links distribution;190
stats.cypher;Nb conflicts distribution;690
stats.cypher;Nb temporal conflicts;593
stats.cypher;Distribution of linked "o";186
results.cypher;mapping_Neo4j_wikidata;696
results.cypher;inferredNodes;124
results.cypher;tCon_noConflicts;10
results.cypher;tCon_conflicts;859
results.cypher;pCon_noConflicts;1544
results.cypher;pCon_conflicts;1496
results.cypher;pInc_noConflicts;1678
results.cypher;pInc_conflicts;1485
results.cypher;tInc_noConflicts;1598
results.cypher;tInc_conflicts;1522
