STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;145
delete.cypher;TOTAL;145

schema.cypher;indices;3
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;indices;2
schema.cypher;TOTAL;19

graphSetting.cypher;dataset loading;1106
graphSetting.cypher;TOTAL;1106

constraints.cypher;C1 - birthDateConflict;38
constraints.cypher;C2 - deathDateConflict;62
constraints.cypher;C3 - birthDeathConflict;63
constraints.cypher;C4 - birthPlayerConflict;56
constraints.cypher;C5 - deathPlayerConflict;45
constraints.cypher;C6 - playerAgeConflict;85
constraints.cypher;C7 - playerTooOldConflict;26
constraints.cypher;C8 - twoTeamsConflict;1311
constraints.cypher;C14 - marriageConflict;204
constraints.cypher;C16 - birthMarriageConflict;7
constraints.cypher;C17 - deathMarriageConflict;6
constraints.cypher;C18 - playerCoachConflict;8
constraints.cypher;C19 - twoCompaniesConflict;10
constraints.cypher;TOTAL;1921

stats.cypher;Nb triplets;18
stats.cypher;Nb "o";8
stats.cypher;Nb "s";7
stats.cypher;nb "p";6
stats.cypher;Nb "p" links distribution;10
stats.cypher;Nb conflicts distribution;30
stats.cypher;Nb temporal conflicts;21
stats.cypher;Distribution of linked "o";12
results.cypher;mapping_Neo4j_wikidata;38
results.cypher;inferredNodes;16
results.cypher;noConflicts;5
results.cypher;n-rockit_temporal_conflicts;48
results.cypher;conflicts;111
