STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;133
inference.cypher;TOTAL;133

constraints.cypher;Partial Temporal Consistency;30
constraints.cypher;Partial Temporal Inconsistency;428
constraints.cypher;Total Temporal Inconsistency;377
constraints.cypher;C1 - birthDateConflict;260
constraints.cypher;C1-1 - birthDateConflictPolarity;173
constraints.cypher;C2 - deathDateConflict;221
constraints.cypher;C2-1 - deathDateConflictPolarity;87
constraints.cypher;C3 - birthDeathConflict;266
constraints.cypher;C4 - birthPlayerConflict;26
constraints.cypher;C4 - birthPlayerConflict;686
constraints.cypher;C5 - deathPlayerConflict;348
constraints.cypher;C6 - playerAgeConflict;811
constraints.cypher;C7 - playerTooOldConflict;889
constraints.cypher;C8 - twoTeamsConflict;57736
constraints.cypher;C14 - marriageConflict;294
constraints.cypher;C16 - birthMarriageConflict;102
constraints.cypher;C17 - deathMarriageConflict;61
constraints.cypher;C18 - playerCoachConflict;368
constraints.cypher;C19 - twoCompaniesConflict;37
constraints.cypher;C6 - playerAgeConflict;858
constraints.cypher;TOTAL;64058

stats.cypher;Nb triplets;516
stats.cypher;Nb "o";192
stats.cypher;Nb "s";187
stats.cypher;nb "p";182
stats.cypher;Nb "p" links distribution;309
stats.cypher;Nb conflicts distribution;1006
stats.cypher;Nb temporal conflicts;730
stats.cypher;Distribution of linked "o";275
results.cypher;mapping_Neo4j_wikidata;1107
results.cypher;inferredNodes;205
results.cypher;tCon_noConflicts;2
results.cypher;tCon_conflicts;1138
results.cypher;pCon_noConflicts;2488
results.cypher;pCon_conflicts;2171
results.cypher;pInc_noConflicts;2551
results.cypher;pInc_conflicts;2169
results.cypher;tInc_noConflicts;2560
results.cypher;tInc_conflicts;2142
