STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;2320
delete.cypher;TOTAL;2320

schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;10

graphSetting.cypher;dataset loading;3073
graphSetting.cypher;TOTAL;3073

constraints.cypher;Partial Temporal Consistency;32
constraints.cypher;Partial Temporal Inconsistency;172
constraints.cypher;Total Temporal Inconsistency;117
constraints.cypher;C1 - birthDateConflict;103
constraints.cypher;C1-1 - birthDateConflictPolarity;53
constraints.cypher;C2 - deathDateConflict;71
constraints.cypher;C2-1 - deathDateConflictPolarity;24
constraints.cypher;C3 - birthDeathConflict;86
constraints.cypher;C4 - birthPlayerConflict;24
constraints.cypher;C4 - birthPlayerConflict;201
constraints.cypher;C5 - deathPlayerConflict;69
constraints.cypher;C6 - playerAgeConflict;284
constraints.cypher;C7 - playerTooOldConflict;313
constraints.cypher;C8 - twoTeamsConflict;34789
constraints.cypher;C14 - marriageConflict;616
constraints.cypher;C16 - birthMarriageConflict;48
constraints.cypher;C17 - deathMarriageConflict;45
constraints.cypher;C18 - playerCoachConflict;75
constraints.cypher;C19 - twoCompaniesConflict;71
constraints.cypher;C6 - playerAgeConflict;207
constraints.cypher;TOTAL;37400

stats.cypher;Nb triplets;90
stats.cypher;Nb "o";33
stats.cypher;Nb "s";33
stats.cypher;nb "p";32
stats.cypher;Nb "p" links distribution;50
stats.cypher;Nb conflicts distribution;988
stats.cypher;Nb temporal conflicts;750
stats.cypher;Distribution of linked "o";48
results.cypher;mapping_Neo4j_wikidata;205
results.cypher;inferredNodes;35
results.cypher;tCon_noConflicts;15
results.cypher;tCon_conflicts;1046
results.cypher;pCon_noConflicts;2457
results.cypher;pCon_conflicts;2179
results.cypher;pInc_noConflicts;2374
results.cypher;pInc_conflicts;2260
results.cypher;tInc_noConflicts;2442
results.cypher;tInc_conflicts;2271
