type;ID_TF;ID_s;ID_o;ID_p;date_start;date_end;valid;proba;polarity
pinstConf;Q23-Q191789-P26-1759-01-01-1799-12-01-0.19214;Q23;Q191789;P26;1759-01-01;1799-12-01;true;0.19214;true
pinstConf;Q23-17320222-P569-1732-02-01-1732-02-01-0.15992;Q23;17320222;P569;1732-02-01;1732-02-01;true;0.15992;true
pinstConf;Q23-17991214-P570-1799-12-01-1799-12-01-0.2184;Q23;17991214;P570;1799-12-01;1799-12-01;true;0.2184;false
pinstConf;Q24-19660218-P569-1966-02-01-1966-02-01-0.3483;Q24;19660218;P569;1966-02-01;1966-02-01;true;0.3483;true
pinstConf;Q42-Q14623681-P26-1991-11-01-2001-05-01-0.22799;Q42;Q14623681;P26;1991-11-01;2001-05-01;true;0.22799;true
pinstConf;Q42-19520311-P569-1952-03-01-1952-03-01-0.20504999;Q42;19520311;P569;1952-03-01;1952-03-01;true;0.20504999;true
pinstConf;Q42-20010511-P570-2001-05-01-2001-05-01-0.19802001;Q42;20010511;P570;2001-05-01;2001-05-01;true;0.19802001;true
pinstConf;Q207-Q152019-P26-1977-11-01-1977-11-01-0.25051;Q207;Q152019;P26;1977-11-01;1977-11-01;true;0.25051;true
pinstConf;Q207-19460706-P569-1946-07-01-1946-07-01-0.27115;Q207;19460706;P569;1946-07-01;1946-07-01;true;0.27115;true
pinstConf;Q297-15990600-P569-1599-06-01-1599-06-01-0.23015001;Q297;15990600;P569;1599-06-01;1599-06-01;true;0.23015001;false
pinstConf;Q297-15990606-P569-1599-06-01-1599-06-01-0.22634001;Q297;15990606;P569;1599-06-01;1599-06-01;true;0.22634001;false
pinstConf;Q297-16600806-P570-1660-08-01-1660-08-01-0.24994;Q297;16600806;P570;1660-08-01;1660-08-01;true;0.24994;true
pinstConf;Q326-19420624-P569-1942-06-01-1942-06-01-0.27218002;Q326;19420624;P569;1942-06-01;1942-06-01;true;0.27218002;true
pinstConf;Q368-19151125-P569-1915-11-01-1915-11-01-0.36636;Q368;19151125;P569;1915-11-01;1915-11-01;true;0.36636;true
pinstConf;Q368-20061210-P570-2006-12-01-2006-12-01-0.16493;Q368;20061210;P570;2006-12-01;2006-12-01;true;0.16493;true
pinstConf;Q377-18820707-P569-1882-07-01-1882-07-01-0.40396;Q377;18820707;P569;1882-07-01;1882-07-01;true;0.40396;true
pinstConf;Q377-19420628-P570-1942-06-01-1942-06-01-0.20367;Q377;19420628;P570;1942-06-01;1942-06-01;true;0.20367;true
pinstConf;Q475-19110116-P569-1911-01-01-1911-01-01-0.14319;Q475;19110116;P569;1911-01-01;1911-01-01;true;0.14319;true
pinstConf;Q475-19820122-P570-1982-01-01-1982-01-01-0.38918;Q475;19820122;P570;1982-01-01;1982-01-01;true;0.38918;true
pinstConf;Q501-18210409-P569-1821-04-01-1821-04-01-0.23699;Q501;18210409;P569;1821-04-01;1821-04-01;true;0.23699;true
pinstConf;Q501-18670831-P570-1867-08-01-1867-08-01-0.18825;Q501;18670831;P570;1867-08-01;1867-08-01;true;0.18825;true
pinstConf;Q530-19560318-P569-1956-03-01-1956-03-01-0.19924;Q530;19560318;P569;1956-03-01;1956-03-01;true;0.19924;true
pinstConf;Q555-19730401-P569-1973-04-01-1973-04-01-0.25459;Q555;19730401;P569;1973-04-01;1973-04-01;true;0.25459;true
pinstConf;Q619-14730219-P569-1473-02-01-1473-02-01-0.26645;Q619;14730219;P569;1473-02-01;1473-02-01;true;0.26645;true
pinstConf;Q619-15430524-P570-1543-05-01-1543-05-01-0.23210001;Q619;15430524;P570;1543-05-01;1543-05-01;true;0.23210001;true
pinstConf;Q633-Q3374257-P26-1977-08-01-1977-08-01-0.16936001;Q633;Q3374257;P26;1977-08-01;1977-08-01;true;0.16936001;true
pinstConf;Q633-19451112-P569-1945-11-01-1945-11-01-0.41254002;Q633;19451112;P569;1945-11-01;1945-11-01;true;0.41254002;true
pinstConf;Q747-16060606-P569-1606-06-01-1606-06-01-0.21396999;Q747;16060606;P569;1606-06-01;1606-06-01;true;0.21396999;true
pinstConf;Q747-16841001-P570-1684-10-01-1684-10-01-0.24195;Q747;16841001;P570;1684-10-01;1684-10-01;true;0.24195;true
pinstConf;Q815-18981122-P569-1898-11-01-1898-11-01-0.14063999;Q815;18981122;P569;1898-11-01;1898-11-01;true;0.14063999;true
pinstConf;Q815-19800822-P570-1980-08-01-1980-08-01-0.18202999;Q815;19800822;P570;1980-08-01;1980-08-01;true;0.18202999;true
pinstConf;Q849-14310401-P569-1431-04-01-1431-04-01-0.41845998;Q849;14310401;P569;1431-04-01;1431-04-01;true;0.41845998;true
pinstConf;Q849-14630101-P570-1463-01-01-1463-01-01-0.2184;Q849;14630101;P570;1463-01-01;1463-01-01;true;0.2184;true
pinstConf;Q849-14640101-P570-1464-01-01-1464-01-01-0.17036;Q849;14640101;P570;1464-01-01;1464-01-01;true;0.17036;true
pinstConf;Q853-Q1981049-P26-1957-04-01-1970-06-01-0.16353;Q853;Q1981049;P26;1957-04-01;1970-06-01;true;0.16353;true
pinstConf;Q853-Q3217941-P26-1957-04-01-1970-06-01-0.1832;Q853;Q3217941;P26;1957-04-01;1970-06-01;true;0.1832;true
pinstConf;Q853-Q3217941-P26-1970-01-01-1986-12-01-0.24881001;Q853;Q3217941;P26;1970-01-01;1986-12-01;true;0.24881001;true
pinstConf;Q853-19320404-P569-1932-04-01-1932-04-01-0.30006;Q853;19320404;P569;1932-04-01;1932-04-01;true;0.30006;true
pinstConf;Q853-19861229-P570-1986-12-01-1986-12-01-0.27912;Q853;19861229;P570;1986-12-01;1986-12-01;true;0.27912;true
pinstConf;Q873-Q1271632-P26-1978-09-01-1978-09-01-0.25959;Q873;Q1271632;P26;1978-09-01;1978-09-01;true;0.25959;true
pinstConf;Q873-19490622-P569-1949-06-01-1949-06-01-0.16702;Q873;19490622;P569;1949-06-01;1949-06-01;true;0.16702;true
pinstConf;Q905-18830703-P569-1883-07-01-1883-07-01-0.29298002;Q905;18830703;P569;1883-07-01;1883-07-01;true;0.29298002;true
pinstConf;Q905-19240603-P570-1924-06-01-1924-06-01-0.37945002;Q905;19240603;P570;1924-06-01;1924-06-01;true;0.37945002;true
pinstConf;Q909-Q448233-P26-1986-05-01-1986-06-01-0.1587;Q909;Q448233;P26;1986-05-01;1986-06-01;true;0.1587;true
pinstConf;Q909-18990824-P569-1899-08-01-1899-08-01-0.15736;Q909;18990824;P569;1899-08-01;1899-08-01;true;0.15736;true
pinstConf;Q909-19860614-P570-1986-06-01-1986-06-01-0.19597;Q909;19860614;P570;1986-06-01;1986-06-01;true;0.19597;true
pinstConf;Q920-19370114-P569-1937-01-01-1937-01-01-0.19569;Q920;19370114;P569;1937-01-01;1937-01-01;true;0.19569;true
pinstConf;Q920-20121029-P570-2012-10-01-2012-10-01-0.14474;Q920;20121029;P570;2012-10-01;2012-10-01;true;0.14474;true
pinstConf;Q926-18720716-P569-1872-07-01-1872-07-01-0.19468;Q926;18720716;P569;1872-07-01;1872-07-01;true;0.19468;true
