type;ID_TF;ID_s;ID_p
sameAs;Q102026-Q102026;Q102026;Q102026
sameAs;Q116671-Q116671;Q116671;Q116671
sameAs;Q165602-Q165602;Q165602;Q165602
sameAs;Q116676-Q116676;Q116676;Q116676
sameAs;Q102013-Q102013;Q102013;Q102013
sameAs;Q126006-Q126006;Q126006;Q126006
sameAs;Q102017-Q102017;Q102017;Q102017
sameAs;Q102011-Q102011;Q102011;Q102011
sameAs;Q102012-Q102012;Q102012;Q102012
sameAs;19060630-19060630;19060630;19060630
sameAs;Q116655-Q116655;Q116655;Q116655
sameAs;Q102041-Q102041;Q102041;Q102041
sameAs;Q297493-Q297493;Q297493;Q297493
sameAs;Q116668-Q116668;Q116668;Q116668
sameAs;Q165639-Q165639;Q165639;Q165639
sameAs;Q297495-Q297495;Q297495;Q297495
sameAs;Q102033-Q102033;Q102033;Q102033
sameAs;Q875889-Q875889;Q875889;Q875889
sameAs;Q297498-Q297498;Q297498;Q297498
sameAs;Q102034-Q102034;Q102034;Q102034
sameAs;Q297499-Q297499;Q297499;Q297499
sameAs;Q165633-Q165633;Q165633;Q165633
sameAs;Q126037-Q126037;Q126037;Q126037
sameAs;18491211-18491211;18491211;18491211
sameAs;Q102068-Q102068;Q102068;Q102068
sameAs;20071005-20071005;20071005;20071005
sameAs;Q6722853-Q6722853;Q6722853;Q6722853
sameAs;20071002-20071002;20071002;20071002
sameAs;18060802-18060802;18060802;18060802
sameAs;Q102060-Q102060;Q102060;Q102060
sameAs;18491214-18491214;18491214;18491214
sameAs;18491215-18491215;18491215;18491215
sameAs;Q102064-Q102064;Q102064;Q102064
sameAs;16780712-16780712;16780712;16780712
sameAs;Q102052-Q102052;Q102052;Q102052
sameAs;18491208-18491208;18491208;18491208
sameAs;Q102050-Q102050;Q102050;Q102050
sameAs;Q126045-Q126045;Q126045;Q126045
sameAs;18491204-18491204;18491204;18491204
sameAs;18491205-18491205;18491205;18491205
sameAs;20071026-20071026;20071026;20071026
sameAs;18021219-18021219;18021219;18021219
sameAs;20071027-20071027;20071027;20071027
sameAs;Q116692-Q116692;Q116692;Q116692
sameAs;20071024-20071024;20071024;20071024
sameAs;19070000-19070000;19070000;19070000
sameAs;20071020-20071020;20071020;20071020
sameAs;Q116694-Q116694;Q116694;Q116694
sameAs;19890702-19890702;19890702;19890702
sameAs;Q102080-Q102080;Q102080;Q102080
sameAs;19890701-19890701;19890701;19890701
sameAs;18021215-18021215;18021215;18021215
sameAs;Q102089-Q102089;Q102089;Q102089
sameAs;Q102086-Q102086;Q102086;Q102086
sameAs;20071019-20071019;20071019;20071019
sameAs;16780726-16780726;16780726;16780726
sameAs;20071016-20071016;20071016;20071016
sameAs;20071013-20071013;20071013;20071013
sameAs;Q141649-Q141649;Q141649;Q141649
sameAs;Q102073-Q102073;Q102073;Q102073
sameAs;Q836279-Q836279;Q836279;Q836279
sameAs;Q126021-Q126021;Q126021;Q126021
sameAs;Q102077-Q102077;Q102077;Q102077
sameAs;Q102075-Q102075;Q102075;Q102075
sameAs;Q126024-Q126024;Q126024;Q126024
sameAs;Q102076-Q102076;Q102076;Q102076
sameAs;19420703-19420703;19420703;19420703
sameAs;19420704-19420704;19420704;19420704
sameAs;19420705-19420705;19420705;19420705
sameAs;19420706-19420706;19420706;19420706
sameAs;17550220-17550220;17550220;17550220
sameAs;19420708-19420708;19420708;19420708
sameAs;19420709-19420709;19420709;19420709
sameAs;19890720-19890720;19890720;19890720
sameAs;Q61393-Q61393;Q61393;Q61393
sameAs;19890721-19890721;19890721;19890721
sameAs;19890728-19890728;19890728;19890728
sameAs;Q297447-Q297447;Q297447;Q297447
sameAs;19890726-19890726;19890726;19890726
sameAs;19890727-19890727;19890727;19890727
sameAs;18310407-18310407;18310407;18310407
sameAs;Q85371-Q85371;Q85371;Q85371
sameAs;19420702-19420702;19420702;19420702
sameAs;Q85352-Q85352;Q85352;Q85352
sameAs;19890710-19890710;19890710;19890710
sameAs;-02130101--02130101;-02130101;-02130101
sameAs;18310415-18310415;18310415;18310415
sameAs;14200611-14200611;14200611;14200611
sameAs;Q85358-Q85358;Q85358;Q85358
sameAs;20071031-20071031;20071031;20071031
sameAs;Q116602-Q116602;Q116602;Q116602
sameAs;19890715-19890715;19890715;19890715
sameAs;19890716-19890716;19890716;19890716
sameAs;19890713-19890713;19890713;19890713
sameAs;19890714-19890714;19890714;19890714
sameAs;18310418-18310418;18310418;18310418
sameAs;19890711-19890711;19890711;19890711
sameAs;18310419-18310419;18310419;18310419
sameAs;Q273484-Q273484;Q273484;Q273484
sameAs;Q297430-Q297430;Q297430;Q297430
sameAs;Q297431-Q297431;Q297431;Q297431
sameAs;Q273488-Q273488;Q273488;Q273488
sameAs;Q85346-Q85346;Q85346;Q85346
sameAs;14440315-14440315;14440315;14440315
sameAs;18491231-18491231;18491231;18491231
sameAs;Q61374-Q61374;Q61374;Q61374
sameAs;Q61376-Q61376;Q61376;Q61376
sameAs;18971130-18971130;18971130;18971130
