STEP;QUERY;TIME (ms)
inference.cypher;UncertainRule-teams-Q495299-Q3873511;197
inference.cypher;TOTAL;197

constraints.cypher;Partial Temporal Consistency;336
constraints.cypher;Partial Temporal Inconsistency;403
constraints.cypher;Total Temporal Inconsistency;320
constraints.cypher;C1;18
constraints.cypher;C1-1;9
constraints.cypher;C2;10
constraints.cypher;C2-1;3
constraints.cypher;C3;5
constraints.cypher;C4;685
constraints.cypher;C4;682
constraints.cypher;C5;696
constraints.cypher;C6;1165
constraints.cypher;C7;531
constraints.cypher;C8;1086
constraints.cypher;C14;11
constraints.cypher;C16;5
constraints.cypher;C17;5
constraints.cypher;C18;1
constraints.cypher;C19;2
constraints.cypher;C6;696
constraints.cypher;TOTAL;6669

stats.cypher;Nb triplets;15
stats.cypher;Nb "o";7
stats.cypher;Nb "s";6
stats.cypher;nb "p";6
stats.cypher;Nb "p" links distribution;10
stats.cypher;Nb conflicts distribution;23
stats.cypher;Nb temporal conflicts;17
stats.cypher;Distribution of linked "o";10
results.cypher;mapping_Neo4j_wikidata;11
results.cypher;inferredNodes;8
results.cypher;tCon_noConflicts;3
results.cypher;tCon_conflicts;25
results.cypher;pCon_noConflicts;53
results.cypher;pCon_conflicts;49
results.cypher;pInc_noConflicts;54
results.cypher;pInc_conflicts;49
results.cypher;tInc_noConflicts;54
results.cypher;tInc_conflicts;50
