STEP;QUERY;TIME (ms)
schema.cypher;indices;8
schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;14

delete.cypher;delete nodes;301
delete.cypher;TOTAL;301

graphSetting.cypher;dataset loading;344
graphSetting.cypher;concepts name;10
graphSetting.cypher;concepts name;10
graphSetting.cypher;concepts name;9
graphSetting.cypher;concepts name;9
graphSetting.cypher;concepts name;9
graphSetting.cypher;concepts name;9
graphSetting.cypher;persons;16
graphSetting.cypher;dates;10
graphSetting.cypher;persons;31
graphSetting.cypher;TOTAL;457

constraints.cypher;Partial Temporal Consistency;335
constraints.cypher;Partial Temporal Inconsistency;563
constraints.cypher;Total Temporal Inconsistency;418
constraints.cypher;C1;49
constraints.cypher;C1-1;41
constraints.cypher;C2;45
constraints.cypher;C2-1;5
constraints.cypher;C3;39
constraints.cypher;C4;707
constraints.cypher;C4;660
constraints.cypher;C5;694
constraints.cypher;C6;1125
constraints.cypher;C7;572
constraints.cypher;C8;1219
constraints.cypher;C14;138
constraints.cypher;C16;6
constraints.cypher;C17;6
constraints.cypher;C18;39
constraints.cypher;C19;3
constraints.cypher;C6;740
constraints.cypher;TOTAL;7404

stats.cypher;Nb triplets;15
stats.cypher;Nb "o";8
stats.cypher;Nb "s";7
stats.cypher;nb "p";7
stats.cypher;Nb "p" links distribution;10
stats.cypher;Nb conflicts distribution;23
stats.cypher;Nb temporal conflicts;17
stats.cypher;Distribution of linked "o";10
results.cypher;mapping_Neo4j_wikidata;12
results.cypher;inferredNodes;23
results.cypher;tCon_noConflicts;3
results.cypher;tCon_conflicts;26
results.cypher;pCon_noConflicts;54
results.cypher;pCon_conflicts;49
results.cypher;pInc_noConflicts;54
results.cypher;pInc_conflicts;49
results.cypher;tInc_noConflicts;53
results.cypher;tInc_conflicts;49
