STEP;QUERY;TIME (ms)
delete.cypher;delete nodes;1204
delete.cypher;TOTAL;1204

schema.cypher;indices;2
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;indices;1
schema.cypher;TOTAL;10

graphSetting.cypher;dataset loading;2607
graphSetting.cypher;TOTAL;2607

constraints.cypher;Strict Temporal Consistency;1100
constraints.cypher;C1 - birthDateConflict;39
constraints.cypher;C2 - deathDateConflict;29
constraints.cypher;C3 - birthDeathConflict;27
constraints.cypher;C4 - birthPlayerConflict;81
constraints.cypher;C5 - deathPlayerConflict;35
constraints.cypher;C6 - playerAgeConflict;133
constraints.cypher;C7 - playerTooOldConflict;115
constraints.cypher;C8 - twoTeamsConflict;15771
constraints.cypher;C14 - marriageConflict;572
constraints.cypher;C16 - birthMarriageConflict;41
constraints.cypher;C17 - deathMarriageConflict;43
constraints.cypher;C18 - playerCoachConflict;42
constraints.cypher;C19 - twoCompaniesConflict;65
constraints.cypher;TOTAL;18093

stats.cypher;Nb triplets;41
stats.cypher;Nb "o";16
stats.cypher;Nb "s";15
stats.cypher;nb "p";15
stats.cypher;Nb "p" links distribution;23
stats.cypher;Nb conflicts distribution;512
stats.cypher;Nb temporal conflicts;356
stats.cypher;Distribution of linked "o";21
results.cypher;mapping_Neo4j_wikidata;81
results.cypher;inferredNodes;17
results.cypher;tCon_noConflicts;15
results.cypher;tCon_conflicts;586
results.cypher;pCon_noConflicts;1162
results.cypher;pCon_conflicts;1147
results.cypher;pInc_noConflicts;1331
results.cypher;pInc_conflicts;1157
results.cypher;tInc_noConflicts;1222
results.cypher;tInc_conflicts;1189
