type;ID_TF;ID_s;ID_o;ID_p;date_start;date_end;valid;proba;polarity
pinstConf;Q23-Q191789-P26-1759-01-01-1799-12-01-1.9214;Q23;Q191789;P26;1759-01-01;1799-12-01;true;1.9214;true
pinstConf;Q23-17320222-P569-1732-02-01-1732-02-01-1.5992;Q23;17320222;P569;1732-02-01;1732-02-01;true;1.5992;true
pinstConf;Q23-17991214-P570-1799-12-01-1799-12-01-2.184;Q23;17991214;P570;1799-12-01;1799-12-01;true;2.184;true
pinstConf;Q24-19660218-P569-1966-02-01-1966-02-01-3.483;Q24;19660218;P569;1966-02-01;1966-02-01;true;3.483;true
pinstConf;Q42-Q14623681-P26-1991-11-01-2001-05-01-2.2799;Q42;Q14623681;P26;1991-11-01;2001-05-01;true;2.2799;true
pinstConf;Q42-19520311-P569-1952-03-01-1952-03-01-2.0505;Q42;19520311;P569;1952-03-01;1952-03-01;true;2.0505;true
pinstConf;Q42-20010511-P570-2001-05-01-2001-05-01-1.9802;Q42;20010511;P570;2001-05-01;2001-05-01;true;1.9802;true
pinstConf;Q207-Q152019-P26-1977-11-01-1977-11-01-2.5051;Q207;Q152019;P26;1977-11-01;1977-11-01;true;2.5051;true
pinstConf;Q207-19460706-P569-1946-07-01-1946-07-01-2.7115;Q207;19460706;P569;1946-07-01;1946-07-01;true;2.7115;true
pinstConf;Q297-15990600-P569-1599-06-01-1599-06-01-2.3015;Q297;15990600;P569;1599-06-01;1599-06-01;true;2.3015;true
pinstConf;Q297-15990606-P569-1599-06-01-1599-06-01-2.2634;Q297;15990606;P569;1599-06-01;1599-06-01;true;2.2634;true
pinstConf;Q297-16600806-P570-1660-08-01-1660-08-01-2.4994;Q297;16600806;P570;1660-08-01;1660-08-01;true;2.4994;true
pinstConf;Q326-19420624-P569-1942-06-01-1942-06-01-2.7218;Q326;19420624;P569;1942-06-01;1942-06-01;true;2.7218;true
pinstConf;Q368-19151125-P569-1915-11-01-1915-11-01-3.6636;Q368;19151125;P569;1915-11-01;1915-11-01;true;3.6636;true
pinstConf;Q368-20061210-P570-2006-12-01-2006-12-01-1.6493;Q368;20061210;P570;2006-12-01;2006-12-01;true;1.6493;true
pinstConf;Q377-18820707-P569-1882-07-01-1882-07-01-4.0396;Q377;18820707;P569;1882-07-01;1882-07-01;true;4.0396;true
pinstConf;Q377-19420628-P570-1942-06-01-1942-06-01-2.0367;Q377;19420628;P570;1942-06-01;1942-06-01;true;2.0367;true
pinstConf;Q475-19110116-P569-1911-01-01-1911-01-01-1.4319;Q475;19110116;P569;1911-01-01;1911-01-01;true;1.4319;true
pinstConf;Q475-19820122-P570-1982-01-01-1982-01-01-3.8918;Q475;19820122;P570;1982-01-01;1982-01-01;true;3.8918;true
pinstConf;Q501-18210409-P569-1821-04-01-1821-04-01-2.3699;Q501;18210409;P569;1821-04-01;1821-04-01;true;2.3699;true
pinstConf;Q501-18670831-P570-1867-08-01-1867-08-01-1.8825;Q501;18670831;P570;1867-08-01;1867-08-01;true;1.8825;true
pinstConf;Q530-19560318-P569-1956-03-01-1956-03-01-1.9924;Q530;19560318;P569;1956-03-01;1956-03-01;true;1.9924;true
pinstConf;Q555-19730401-P569-1973-04-01-1973-04-01-2.5459;Q555;19730401;P569;1973-04-01;1973-04-01;true;2.5459;true
pinstConf;Q619-14730219-P569-1473-02-01-1473-02-01-2.6645;Q619;14730219;P569;1473-02-01;1473-02-01;true;2.6645;true
pinstConf;Q619-15430524-P570-1543-05-01-1543-05-01-2.321;Q619;15430524;P570;1543-05-01;1543-05-01;true;2.321;true
pinstConf;Q633-Q3374257-P26-1977-08-01-1977-08-01-1.6936;Q633;Q3374257;P26;1977-08-01;1977-08-01;true;1.6936;true
pinstConf;Q633-19451112-P569-1945-11-01-1945-11-01-4.1254;Q633;19451112;P569;1945-11-01;1945-11-01;true;4.1254;true
pinstConf;Q635--00681001-P569-0068-01-01-0068-01-01-1.6732;Q635;-00681001;P569;0068-01-01;0068-01-01;true;1.6732;true
pinstConf;Q635--00290810-P570-0029-01-01-0029-01-01-2.1698;Q635;-00290810;P570;0029-01-01;0029-01-01;true;2.1698;true
pinstConf;Q747-16060606-P569-1606-06-01-1606-06-01-2.1397;Q747;16060606;P569;1606-06-01;1606-06-01;true;2.1397;true
pinstConf;Q747-16841001-P570-1684-10-01-1684-10-01-2.4195;Q747;16841001;P570;1684-10-01;1684-10-01;true;2.4195;true
pinstConf;Q815-18981122-P569-1898-11-01-1898-11-01-1.4064;Q815;18981122;P569;1898-11-01;1898-11-01;true;1.4064;true
pinstConf;Q815-19800822-P570-1980-08-01-1980-08-01-1.8203;Q815;19800822;P570;1980-08-01;1980-08-01;true;1.8203;true
pinstConf;Q849-14310401-P569-1431-04-01-1431-04-01-4.1846;Q849;14310401;P569;1431-04-01;1431-04-01;true;4.1846;true
pinstConf;Q849-14630101-P570-1463-01-01-1463-01-01-2.184;Q849;14630101;P570;1463-01-01;1463-01-01;true;2.184;true
pinstConf;Q849-14640101-P570-1464-01-01-1464-01-01-1.7036;Q849;14640101;P570;1464-01-01;1464-01-01;true;1.7036;true
pinstConf;Q853-Q1981049-P26-1957-04-01-1970-06-01-1.6353;Q853;Q1981049;P26;1957-04-01;1970-06-01;true;1.6353;true
pinstConf;Q853-Q3217941-P26-1957-04-01-1970-06-01-1.832;Q853;Q3217941;P26;1957-04-01;1970-06-01;true;1.832;true
pinstConf;Q853-Q3217941-P26-1970-01-01-1986-12-01-2.4881;Q853;Q3217941;P26;1970-01-01;1986-12-01;true;2.4881;true
pinstConf;Q853-19320404-P569-1932-04-01-1932-04-01-3.0006;Q853;19320404;P569;1932-04-01;1932-04-01;true;3.0006;true
