type;ID_TF;ID_s;ID_p
sameAs;Q3034957-Q3034957;Q3034957;Q3034957
sameAs;Q1151-Q1151;Q1151;Q1151
sameAs;19551215-19551215;19551215;19551215
sameAs;18170412-18170412;18170412;18170412
sameAs;18340219-18340219;18340219;18340219
sameAs;18780819-18780819;18780819;18780819
sameAs;19711213-19711213;19711213;19711213
sameAs;Q2312334-Q2312334;Q2312334;Q2312334
sameAs;Q11979-Q11979;Q11979;Q11979
sameAs;Q12827-Q12827;Q12827;Q12827
sameAs;14630101-14630101;14630101;14630101
sameAs;Q212914-Q212914;Q212914;Q212914
sameAs;19300403-19300403;19300403;19300403
sameAs;18820118-18820118;18820118;18820118
sameAs;19770422-19770422;19770422;19770422
sameAs;Q2006-Q2006;Q2006;Q2006
sameAs;Q19467-Q19467;Q19467;Q19467
sameAs;Q23959-Q23959;Q23959;Q23959
sameAs;Q19469-Q19469;Q19469;Q19469
sameAs;Q367472-Q367472;Q367472;Q367472
sameAs;Q216032-Q216032;Q216032;Q216032
sameAs;Q2492-Q2492;Q2492;Q2492
sameAs;Q4671-Q4671;Q4671;Q4671
sameAs;19081103-19081103;19081103;19081103
sameAs;Q2494-Q2494;Q2494;Q2494
sameAs;14000101-14000101;14000101;14000101
sameAs;Q11987-Q11987;Q11987;Q11987
sameAs;19711224-19711224;19711224;19711224
sameAs;19280729-19280729;19280729;19280729
sameAs;19721026-19721026;19721026;19721026
sameAs;Q12836-Q12836;Q12836;Q12836
sameAs;14011230-14011230;14011230;14011230
sameAs;Q11509-Q11509;Q11509;Q11509
sameAs;Q221882-Q221882;Q221882;Q221882
sameAs;Q19470-Q19470;Q19470;Q19470
sameAs;Q19473-Q19473;Q19473;Q19473
sameAs;19241106-19241106;19241106;19241106
sameAs;19210831-19210831;19210831;19210831
sameAs;Q2496-Q2496;Q2496;Q2496
sameAs;Q19477-Q19477;Q19477;Q19477
sameAs;19380101-19380101;19380101;19380101
sameAs;19630101-19630101;19630101;19630101
